ID,Název praktiky,Typ extrému,Měřítko aplikace,Lokalita,Zeměpisná šířka,Zeměpisná délka,Relativní nákladnost,Doba implementace cca,Popis praktiky,Přínosy a výhody,Rizika a omezení,Postup implementace,Zdrojová organizace,Kontaktní údaje,Reference a zdroje,Datum přidání,Podpůrné soubory,Oblast dopadu,Typ opatření,Fáze krize,Provenience,Úroveň ověření,Stav,Kanonický klíč
19,Plzeň – standardy hospodaření s dešťovou vodou (HDV),"Přívalové deště, Sucho",Město,"Plzeň, Česká republika",49.7384,13.3736,Nízké (<500 tis. Kč),Kontinuální (>10 let),"Plzeň schválila usnesením Rady města č. 1076 ze dne 8. 11. 2023 závazné Plzeňské standardy hospodaření s dešťovými vodami. Navazují na Koncepci odtokových poměrů města Plzně (2020) a Strategický plán města (2018). Standardy tvoří tři části: hlavní dokument (principy modrozelené infrastruktury, výpočet srážkových vod a dimenzování objektů HDV), příloha A – katalog technických řešení objektů HDV pro projektanty a příloha B – analytická část (legislativní nástroje, koncepční dokumenty, srovnání praxe v ČR i zahraničí). Aplikace standardů je vyžadována u přípravy městských projektů, záměrů a investic a při připomínkování metodických a legislativních dokumentů.","Jednotná a předvídatelná pravidla pro projektanty i investory od studie po realizaci; systematická podpora vsaku, retence a využití srážkové vody (zelené střechy, průlehy, nádrže) snižuje odtok do kanalizace a posiluje odolnost města vůči přívalovým srážkám i suchu; katalogové listy zkracují a zlevňují přípravu projektů; nízkonákladový regulační nástroj přenositelný do dalších měst.","Standard je přímo závazný pouze pro městské investice – u soukromé výstavby závisí na uplatnění v povolovacích procesech a vyjednávání; vyžaduje odborné kapacity úřadu pro kontrolu projektové přípravy; dimenzování dle standardu může zvýšit investiční náklady jednotlivých staveb; nutná pravidelná revize (vývoj legislativy a srážkových dat, doporučeno po 2–3 letech).",1. Zpracování koncepce odtokových poměrů města 2. Formulace standardů HDV a katalogu technických řešení 3. Schválení radou města (závaznost pro městské projekty) 4. Školení projektantů a pracovníků úřadu 5. Uplatňování v zadáních a kontrola projektové přípravy 6. Revize standardů po 2–3 letech provozu,Město Plzeň (Útvar koncepce a rozvoje města Plzně),,Plzeňské standardy HDV (ÚKRMP) | https://ukr.plzen.eu/zivotni-prostredi/plzenske-standardy-hospodareni-s-destovymi-vodami/ | Koncepce odtokových poměrů města Plzně | https://ukr.plzen.eu/zivotni-prostredi/koncepce-odtokovych-pomeru-mesta-plzne/,,,"Životní prostředí, Infrastruktura, Budovy",Organizační,Před krizí – prevence,Domácí praxe (převzato ze zdroje),Převzato ze zdroje,approved,"plzen – standardy hospodareni s destovou vodou (hdv)|plzen, ceska republika|privalove deste, sucho"
20,Ostrava – „Modrozelená kuchařka“ a adaptační projekty,"Vlny veder, Přívalové deště",Město,"Ostrava, Česká republika",49.8209,18.2625,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Metodika modrozelené infrastruktury („Modrozelená kuchařka“), kterou Ostrava dokončila v roce 2023 ve spolupráci s Městským ateliérem prostorového plánování a architektury (MAPPA). Definuje zásady vytváření provázaného systému vodních a zelených ploch v zastavěném území a požadavky na projektování investičních projektů ve vlastnictví města. Je určena starostům městských obvodů, projektantům a investorům. Na metodiku navazují konkrétní adaptační projekty města: ozeleněné tramvajové pásy, zelené střechy a fasády, trvalkové záhony a květnaté louky, propustná parkoviště nebo upravený režim sečení trávy pro udržení vegetace v suchých obdobích.",Jednotný standard pro městské investice v silně urbanizovaném průmyslovém městě; zlepšení mikroklimatu a retence vody realizovanými prvky; srozumitelný katalog opatření usnadňuje 23 městským obvodům přípravu projektů; komunikace přes weby zdravaova.cz a fajnova.cz podporuje participaci a přijetí opatření veřejností.,"Realizace závisí na investičních plánech a rozpočtech – metodika sama opatření negeneruje; koordinace městských obvodů s rozdílnými kapacitami a prioritami; modrozelené prvky zvyšují nároky na údržbu (závlaha, sečení, čištění propustných povrchů) a vyžadují proškolení technických služeb.","1. Zpracování metodiky (MAPPA, 2023) 2. Projednání a zveřejnění pro obvody, projektanty a investory 3. Uplatnění požadavků v zadáních městských investic 4. Pilotní projekty (ozeleněné tramvajové pásy, zelené střechy, propustná parkoviště) 5. Vyhodnocování, sdílení zkušeností mezi obvody a aktualizace metodiky",Statutární město Ostrava / MAPPA,,Ostrava.cz – „Modrozelená kuchařka“ | https://www.ostrava.cz/cs/o-meste/aktualne/v-201emodrozelene-kucharce201c-naleznou-zajemci-informace-jak-mesto-priblizit-prirode-a-snizit-dopady-klimatickych-zmen | zdravaova.cz | fajnova.cz,,,"Životní prostředí, Obyvatelé a komunita, Infrastruktura",Kombinované,Před krizí – prevence,Domácí praxe (převzato ze zdroje),Převzato ze zdroje,approved,"ostrava – „modrozelena kucharka“ a adaptacni projekty|ostrava, ceska republika|vlny veder, privalove deste"
21,"Litoměřice – adaptace na změnu klimatu (SECAP, energetický management)","Vlny veder, Přívalové deště",Město,"Litoměřice, Česká republika",50.533,14.1318,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Litoměřice (cca 23 tis. obyvatel) patří mezi průkopníky městské energetiky a adaptace v ČR. Akční plán udržitelné energetiky a adaptace na klimatickou změnu (SECAP) na období 2017–2030 propojuje mitigační opatření (renovace obecních budov, veřejné osvětlení, náhrada tepelných zdrojů, požadavky na novou výstavbu, doprava) s adaptačním rámcem města a s dalšími nástroji: systematickým energetickým managementem, podporou solárních systémů, prvky Smart City a zapojováním občanů. Na plán navazují konkrétní projekty – výsadby zeleně, hospodaření s vodou a osvětové aktivity.",Integrovaný přístup: úspory energie a snižování emisí se plánují společně s adaptací na vedra a přívalové srážky; energetický management poskytuje data pro rozhodování a prokazatelné úspory rozpočtu města; dlouhodobá kontinuita tématu usnadňuje získávání dotací; přenositelný model klimatického plánování pro střední města.,"Realizace závisí na stabilním financování a personální kapacitě (pozice energetického manažera); část opatření má dlouhou návratnost; adaptační rámec je nutné průběžně konkretizovat do investičních projektů, jinak zůstává deklarativní; menší město má omezené kapacity pro souběh více dotačních projektů.","1. Zavedení energetického managementu a sběru dat o spotřebách 2. Zpracování a schválení SECAP (2017–2030) 3. Zásobník opatření pro budovy, osvětlení, dopravu a adaptaci 4. Průběžná realizace podle rozpočtu a dotačních příležitostí 5. Monitoring, vyhodnocování a aktualizace plánu",Město Litoměřice,,SECAP Litoměřice do roku 2030 (PDF) | https://www.litomerice.cz/images/strategicke-dokumenty/SECAP_Litomerice_DEF.pdf | Strategické dokumenty města | https://www.litomerice.cz/strategicke-dokumenty | Databáze strategií | https://databaze.strategie.gov.cz/,,,"Životní prostředí, Obyvatelé a komunita, Budovy",Kombinované,Před krizí – prevence,Domácí praxe (převzato ze zdroje),Převzato ze zdroje,approved,"litomerice – adaptace na zmenu klimatu (projekty a strategie)|litomerice, ceska republika|vlny veder, privalove deste"
22,Říčany – požadavek nulového odtoku srážek u nových projektů,"Přívalové deště, Sucho",Město,"Říčany, Česká republika",49.9919,14.6548,Nízké (<500 tis. Kč),Kontinuální (>10 let),"Říčany dlouhodobě patří k obcím s nejpřísnější regulací výstavby v ČR (územní plán s vysokou mírou regulace platný od roku 2014, ve znění pozdějších změn – naposledy změny č. 5). Součástí pravidel je požadavek, aby nové stavby likvidovaly srážkové vody na vlastním pozemku (princip tzv. nulového odtoku): přednostně vsakem, dále retencí s následným využitím (zálivka, splachování), případně zelenými střechami; napojení srážkových vod na kanalizaci je umožněno jen výjimečně tam, kde to místní hydrogeologické podmínky nedovolují.","Náklady na hospodaření se srážkovou vodou nese stavebník, nikoli obec; snížení zatížení dešťové kanalizace a vodních toků při přívalových srážkách; dotace podzemních vod v území opakovaně postihovaném suchem; regulativ je administrativně levný a snadno přenositelný do územních plánů dalších obcí.",Účinnost závisí na důsledné kontrole v územním a stavebním řízení a při kolaudaci; na jílovitém podloží s omezeným vsakem je nutné individuální hydrogeologické posouzení (riziko formálních řešení „na papíře“); regulativ se vztahuje na novou výstavbu a neřeší stávající zástavbu; možný tlak developerů na výjimky.,1. Hydrogeologické posouzení vsakových podmínek území 2. Zakotvení požadavku nulového odtoku do územního plánu / regulativů 3. Metodické vedení pro stavebníky a projektanty 4. Kontrola řešení HDV v povolovacích řízeních 5. Ověření skutečného provedení při kolaudaci,Město Říčany,,Změna č. 5 ÚP Říčan – odůvodnění (OOP) | https://www.ricany.cz/wp-content/uploads/2025/02/Priloha2-OOP_Ricany-Z5_ODUVODNENI_zapis-zmen.pdf | Územní plán Říčan | https://www.ricany.cz/radnice/strategicke-dokumenty/uzemni-planovani-ve-meste-ricany/uzemni-plan-rican/ | Kurýr Říčany – nový územní plán | https://www.kuryr-ricany.cz/clanek/ricany-maji-novy-uzemni-plan-prisnejsi-vuci-developerum,,,"Budovy, Infrastruktura, Životní prostředí",Organizační,Před krizí – prevence,Domácí praxe (převzato ze zdroje),Převzato ze zdroje,approved,"ricany – pozadavek nuloveho odtoku srazek u novych projektu|ricany, ceska republika|privalove deste, sucho"
23,Hradec Králové – revitalizace vodních ploch v parcích (Šimkovy sady),"Vlny veder, Přívalové deště",Čtvrť,"Hradec Králové, Česká republika",50.2092,15.8328,Střední (500 tis. - 5 mil. Kč),Střednědobá (1-3 roky),"Revitalizace Šimkových sadů – s cca 19 ha největšího parku v Hradci Králové – proběhla v letech 2012–2013 s podporou Regionálního operačního programu NUTS II Severovýchod. Vedle obnovy cest, mostků a dětských hřišť byla klíčová revitalizace vodních ploch (jezírko s navazujícím rekreačním provozem) a rozsáhlé dosadby: 352 stromů, přes 1 500 keřů a kolem 4 000 trvalek. Park spravují Technické služby Hradec Králové; projekt byl prezentován v soutěži Park roku 2017. Na revitalizaci navazují další úpravy vodních prvků v městských parcích.","Vodní plocha a vzrostlá zeleň ochlazují okolí v horkých dnech (evapotranspirace, stín) a zvyšují retenci vody v centru města; kombinace rekreační, vzdělávací a adaptační funkce zvyšuje využití parku i veřejnou podporu údržby zeleně; referenční příklad revitalizace velkého městského parku s vodními prvky pro města střední velikosti.","Vodní prvky vyžadují sezónní údržbu (čerpadla, kvalita vody, riziko sinic v létě); nové výsadby potřebují zálivku v prvních letech (nároky rostou v suchých letech); investice závislá na dotačních programech; nutné sladit rekreační provoz s ochranou vegetace a živočichů.","1. Projekt revitalizace (krajinářský architekt) 2. Zajištění financování (dotační program + rozpočet města) 3. Obnova vodních ploch a technického zázemí 4. Výsadby stromů, keřů a trvalek 5. Předání do správy technických služeb 6. Sezónní údržba a monitoring stavu vody a vegetace",Statutární město Hradec Králové,,Šimkovy sady (hradeckralove.org) | https://www.hradeckralove.org/simkovy-sady/os-1645 | Park roku 2017 – Šimkovy sady | https://www.parkroku.cz/cs/menu/predchozi-rocniky/2017/simkovy-sady-hradec-kralove/,,,"Životní prostředí, Zdraví, Obyvatelé a komunita",Technické,Před krizí – prevence,Domácí praxe (převzato ze zdroje),Ověřeno v praxi,approved,"hradec kralove – revitalizace vodnich ploch v parcich|hradec kralove, ceska republika|vlny veder, privalove deste"
24,Olomouc – protipovodňová opatření na Moravě,Povodně,Město,"Olomouc, Česká republika",49.5938,17.2509,Vysoké (5-50 mil. Kč),Dlouhodobá (3-10 let),"Postupná protipovodňová ochrana Olomouce na řece Moravě (investor Povodí Moravy, s.p., ve spolupráci s městem) zvyšuje kapacitu koryta z původních 384 m³/s na 650 m³/s. I. etapa (2006–2007): 520 m dlouhý obtokový kanál s kapacitou 180 m³/s, nový jez a rybí přechod. II.A etapa (2012–2013): navýšení a výstavba hrází a zdí, paralelní koryto a 350 m dlouhý zelený ostrov. II.B etapa (2018–2022): snížené bermy na obou březích v centru města a nové mosty na ulicích Masarykova a Komenského; etapa získala titul Vodohospodářská stavba roku. IV.A etapa je v realizaci od 3/2024 (revitalizace pravého břehu, rekonstrukce ochranné hráze, nová tůň), IV.B v přípravě (2027–2029) a III. etapa v předprojektové přípravě (architektonická soutěž ukončena 2025).","Po dokončení ochrana města na průtok 650 m³/s (nad úrovní stoleté povodně, s rezervou proti extrémům typu 1997); snížené bermy zpřístupnily řeku a vytvořily nový veřejný prostor v centru – kombinace protipovodňové funkce a revitalizace nábřeží; zelený ostrov a tůně podporují biodiverzitu; etapizace rozkládá investice v čase a umožňuje využívat zkušenosti z provozu dokončených etap.",Dlouhodobá výstavba (2006–2029+) vyžaduje kontinuitu financování i politické podpory; časově náročná majetkoprávní příprava (např. zahrádkářské kolonie ve IV. etapě); bermy vyžadují údržbu a úklid po zaplavení; stavební omezení v centru města během realizace jednotlivých etap.,"1. Koncepce zvýšení kapacity koryta (Povodí Moravy + město) 2. Etapizace podle rizika a připravenosti 3. Majetkoprávní příprava a povolení 4. Realizace etap (obtokový kanál → hráze a zdi → bermy a mosty) 5. Provozní a manipulační řády, údržba 6. Monitoring a příprava navazujících etap","Povodí Moravy, s.p. / Statutární město Olomouc",,Protipovodňová opatření Olomouc – přehled etap | https://protipovodnovaopatreni.olomouc.eu/prehled-etap | Povodí Moravy – PPO Olomouc | https://www.pmo.cz/cz/projekty/ppo-olomouc-x/ppo-olomouc/ | PMO – Vodohospodářská stavba roku | https://www.pmo.cz/cz/media/tiskove-zpravy/protipovodnova-ochrana-olomouce-ziskala-oceneni-vodohospodarska-stavba-roku/,,,"Infrastruktura, Finance a majetek, Životní prostředí",Technické,Před krizí – prevence,Domácí praxe (převzato ze zdroje),Ověřeno v praxi,approved,"olomouc – protipovodnova opatreni na morave|olomouc, ceska republika|povodne"
25,Praha – Klimatický plán do roku 2030 a zásobník adaptačních projektů,Vícenásobné extrémy,Město,"Praha, Česká republika",50.0755,14.4378,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Klimatický plán hl. m. Prahy do roku 2030 (schválen 2021) je zastřešující strategie s cílem snížit emise CO₂ o 45 % oproti roku 2010 do roku 2030. Obsahuje 69 konkrétních opatření ve čtyřech pilířích: udržitelná energetika a budovy, udržitelná mobilita, cirkulární ekonomika a adaptační opatření. Adaptační pilíř zahrnuje mj. cíl vysadit až 1,5 milionu stromů, náhradu nepropustných asfaltových a betonových povrchů, revitalizace a renaturace parků a rozvoj modrozelené infrastruktury. Implementaci řídí Komise Rady HMP pro udržitelnou energii a klima prostřednictvím čtyř pracovních skupin; postup je veřejně dostupný na portálu klima.praha.eu. Na plán navazuje Strategie adaptace hl. m. Prahy na změnu klimatu a její implementační plán 2025–2029 se zásobníkem konkrétních adaptačních projektů (adaptacepraha.cz).","Jeden strategický rámec propojuje mitigaci i adaptaci a dává městským organizacím jasné zadání a odpovědnosti; zásobník projektů zrychluje přípravu investic (projekty jsou předjednané a prioritizované, snáze dosáhnou na národní a evropské financování); veřejný portál umožňuje průběžnou kontrolu plnění; model „komise + pilíře + zásobník projektů“ je přenositelný do dalších velkých měst.","Strategie je „měkký“ nástroj – reálný dopad závisí na realizaci jednotlivých projektů a na rozpočtech; závislost na politické kontinuitě napříč volebními obdobími; ambiciózní cíle (1,5 mil. stromů) narážejí na kapacitní a prostorové limity; nutná trvalá koordinace magistrátu, 57 městských částí a městských organizací.",1. Schválení klimatického plánu a zřízení komise Rady HMP 2. Rozpracování 69 opatření do gescí a pracovních skupin 3. Naplnění zásobníku projektů (pro adaptaci: implementační plán 2025–2029) 4. Prioritizace a financování (rozpočet města + národní a evropské zdroje) 5. Realizace a průběžný monitoring na klima.praha.eu 6. Pravidelná aktualizace plánu a zásobníku,Magistrát hl. m. Prahy (Odbor ochrany prostředí),,Portál klima.praha.eu | https://klima.praha.eu/ | Klimatický plán HMP – strukturované informace | https://portalzp.praha.eu/jnp/cz/ochrana_klimatu/Klimaticky_plan_HMP_do2030_struktinfo.html | Implementační plán Strategie adaptace HMP 2025–2029 | https://adaptacepraha.cz/wp-content/uploads/2025/02/IP_2025-2029_Strategie_adaptace_HMP.pdf,,,"Životní prostředí, Infrastruktura, Zdraví",Organizační,"Před krizí – prevence, Připravenost systému (IZS)",Domácí praxe (převzato ze zdroje),Převzato ze zdroje,approved,"praha – zasobnik klimatickych projektu (implementacni plan)|praha, ceska republika|vicenasobne extremy"
26,Nijmegen – Room for the Waal (rozšíření koryta),Povodně,Město,"Nijmegen, Nizozemsko",51.842,5.8526,Vysoké (5-50 mil. Kč),Dlouhodobá (3-10 let),"Největší projekt nizozemského programu Ruimte voor de Rivier (Prostor pro řeku, cca 2,3 mld. EUR, 34 lokalit). V Nijmegenu byla v letech 2013–2015 přesunuta hráz u čtvrti Lent o 350 m do vnitrozemí a v uvolněném prostoru byl vyhlouben 3,5 km dlouhý vedlejší povodňový kanál řeky Waal; vytěženo bylo téměř 5 mil. m3 zeminy. Mezi kanálem a hlavním korytem vznikl nový říční ostrov Veur-Lent s parkem, propojený třemi novými mosty. Při extrémní povodni opatření snižuje hladinu Waalu v nejužším ohybu řeky u Nijmegenu asi o 34 cm a průtočná kapacita profilu se zdvojnásobila; program jako celek zvyšuje bezpečně převáděný průtok Rýna v profilu Lobith na 16 000 m3/s. Náklady činily 351 mil. EUR; dílo bylo slavnostně uvedeno do provozu v prosinci 2015 (dokončení 2016). Investorem byl stát (Rijkswaterstaat) ve spolupráci s městem Nijmegen, které spravuje nivu a říční park.","Snížení povodňové hladiny o cca 34 cm chrání Nijmegen (cca 180 tis. obyvatel) a obce podél Waalu; kapacita koryta v kritickém zúžení se zdvojnásobila. Namísto dalšího zvyšování hrází vznikl trvalý rozlivný prostor, který funguje i při souběhu extrémních průtoků. Vedlejším přínosem je nový říční park a ostrov Veur-Lent s rekreačním využitím a růst atraktivity nábřeží (urbanistická cena Waterfront Center).","Přesun hráze si vyžádal výkupy a demolice cca 50 domácností ve čtvrti Lent – politicky i sociálně citlivý proces s dlouhou přípravou (rozhodnutí vlády 2006, stavba až 2013). Investice 351 mil. EUR je dostupná jen ve velkých národních programech. Vedlejší kanál vyžaduje trvalou správu nivy a vegetace a sledování zanášení sedimenty. Reziduální riziko zůstává při překročení návrhových průtoků. Přenositelnost do ČR je omezená: vyžaduje volný prostor v nivě, silný právní rámec vyvlastnění a kompenzací a koordinaci státu s obcí.","1. Hydraulická studie a porovnání variant (přesun hráze vs. prohloubení koryta). 2. Vládní rozhodnutí a zařazení do národního programu Ruimte voor de Rivier (2006). 3. Výkupy pozemků a kompenzace cca 50 domácností. 4. Projektová příprava, EIA a povolení. 5. Stavba nové hráze o 350 m dál od řeky (od 2013). 6. Vyhloubení 3,5 km vedlejšího kanálu a výstavba tří mostů (2013–2015). 7. Uvedení do provozu a předání (2015–2016). 8. Monitoring hladin, správa nivy, vegetace a sedimentů.",Gemeente Nijmegen / Rijkswaterstaat,,Dutch Water Sector – dokončení projektu | https://www.dutchwatersector.com/news/biggest-icon-project-of-room-for-the-river-programme-officially-commissioned-at-nijmegen-the | NWRM – případová studie Nijmegen | https://www.nwrm.eu/case-study/room-river-nijmegen-dike-relocation-netherlands,,,"Finance a majetek, Životní prostředí, Obyvatelé a komunita",Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"nijmegen – room for the waal (rozsireni koryta)|nijmegen, nizozemsko|povodne"
27,Lisabon – Zelené koridory (Corredor Verde de Monsanto),Vlny veder,Město,"Lisabon, Portugalsko",38.7223,-9.1393,Střední (500 tis. - 5 mil. Kč),Dlouhodobá (3-10 let),"Corredor Verde de Monsanto je páteřní zelený koridor Lisabonu dokončený v roce 2012 podle koncepce krajinného architekta Gonçala Ribeira Tellese ze 70. let. V délce cca 2,5 km a na ploše asi 51 ha propojuje park Eduardo VII v centru města s lesoparkem Monsanto (cca 900 ha, největší souvislá zeleň města) souvislým pásem parků, komunitních zahrad (Campolide), květnatých luk a pěších i cyklistických cest s lávkami přes dopravní tepny. Koridor je součástí sítě zelených koridorů zakotvené v územním plánu (PDM 2012); město postupně rozvíjí devět koridorů propojujících hlavní zelené plochy. Správu zajišťuje Câmara Municipal de Lisboa; koncepce přispěla k titulu Evropské zelené hlavní město 2020.","51 ha propojené zeleně a 2,5 km bezmotorové trasy v centru města; stín a evapotranspirace snižují pocitovou teplotu v koridoru řádově o jednotky °C oproti okolní zástavbě a zmírňují městský tepelný ostrov. Nezpevněné plochy a louky zasakují srážky a snižují odtok při přívalových deštích. Přínos pro obyvatele hustě zastavěných čtvrtí (dostupná rekreace, bezpečná pěší a cyklistická spojení) i pro biodiverzitu (propojení biotopů s Monsantem).","Koridor kříží rušné komunikace – nutné lávky a podchody výrazně zvyšují náklady jednotlivých úseků. Suché a horké lisabonské léto vyžaduje zálivku mladých výsadeb (spotřeba vody, provozní náklady města); v lesoparku Monsanto roste za veder a sucha riziko požáru. Efekt na mikroklima je lokální – neřeší přehřívání celého města. Realizace závisí na dostupnosti pozemků podél trasy (výkupy, směny), což je hlavní limit přenositelnosti do ČR; údržba rozsáhlých ploch trvale zatěžuje rozpočet.","1. Zakotvení ekologické sítě a koridorů v územním plánu. 2. Vytipování tras propojujících stávající parky a rezervy zeleně. 3. Zajištění pozemků (výkupy, směny) a projekty jednotlivých úseků. 4. Výstavba pěších a cyklistických propojení včetně lávek přes komunikace. 5. Výsadby suchu odolných druhů, založení luk a komunitních zahrad. 6. Etapové otevírání úseků a komunikace s veřejností. 7. Údržba, zálivka a monitoring využití i mikroklimatu.",Câmara Municipal de Lisboa,,Urban Nature Atlas – Monsanto green corridor | https://una.city/nbs/lisboa/monsanto-green-corridor | Lisboa.pt – Green Corridors | https://www.lisboa.pt/en/themes/environment/ecological-structure/green-corridors | Oppla – síť zelených koridorů Lisabonu | https://oppla.eu/casestudy/23360,,,"Zdraví, Infrastruktura, Životní prostředí",Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"lisabon – zelene koridory (corredor verde de monsanto)|lisabon, portugalsko|vlny veder"
28,Valencie – Jardín del Turia (protipovodňový park),"Povodně, Vlny veder",Město,"Valencie, Španělsko",39.4699,-0.3763,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Po katastrofální povodni 14. 10. 1957 (nejméně 81 obětí) rozhodl Plan Sur (1958) o odklonění řeky Turie novým, asi 12 km dlouhým jižním obtokovým korytem s návrhovou kapacitou cca 5 000 m3/s, dokončeným počátkem 70. let. Původní koryto v centru města stát v roce 1976 převedl městu a po občanských protestech proti plánované dálnici („koryto Turie je naše a chceme ho zelené“) je město od roku 1986 etapovitě měnilo na lineární park Jardín del Turia – dnes cca 8,5 km dlouhý pás zeleně o rozloze přes 110 ha (po rozšíření až 136 ha) se sportovišti, zahradami a kulturními stavbami (Ciudad de las Artes y las Ciencias). Park spravuje Ajuntament de València; jde o nejnavštěvovanější městský park Španělska (přes 3 mil. návštěv ročně). Bývalé koryto si zachovává schopnost bezpečně převést část extrémních průtoků a zeleň ochlazuje a provětrává centrum.",Obtokové koryto s kapacitou cca 5 000 m3/s (povodeň 1957 měla odhadem 3 700 m3/s) od 70. let spolehlivě chrání historické centrum – i při extrémních srážkách v říjnu 2024 (DANA) převedlo povodňovou vlnu Turie a jádro Valencie zůstalo uchráněno. Přes 110 ha souvislé zeleně snižuje teploty v přilehlých čtvrtích a poskytuje celoročně dostupnou rekreaci pro cca 800 tis. obyvatel města; park s více než 3 mil. návštěv ročně zvyšuje hodnotu okolních nemovitostí a turistickou atraktivitu.,"Údržba a zavlažování rozsáhlých ploch v horkém a suchém klimatu představují trvalé náklady města a značnou spotřebu vody. Park v bývalém korytě zůstává potenciálně zaplavitelným územím – při extrému je nutné počítat s uzavřením a řízeným převedením vody. Odklon řeky přenáší riziko mimo chráněné jádro: povodeň 2024 ukázala, že obce mimo systém (povodí Rambla del Poyo) zůstávají extrémně zranitelné. Jednorázová investice do přeložky řeky je obrovská a vyžadovala státní financování; do ČR je přenositelný především koncept – využití niv a opuštěných koryt jako parků s retenční funkcí.","1. Vyhodnocení povodňového rizika po katastrofě 1957. 2. Rozhodnutí o obtokovém korytě (Plan Sur, 1958) a zajištění státního financování. 3. Výstavba cca 12 km nového koryta a přeložek infrastruktury (60.–70. léta). 4. Převod starého koryta na město (1976) a rozhodnutí o parku místo dálnice. 5. Urbanistický master plan (Ricardo Bofill, 1982) a etapizace. 6. Postupná realizace parkových úseků od roku 1986. 7. Provoz: závlahy, údržba zeleně, sportovní a kulturní vybavenost. 8. Udržování hydraulické funkce obou koryt (čištění, kontroly, povodňové plány).",Ajuntament de València,,Turia Garden (Wikipedia) | https://en.wikipedia.org/wiki/Turia_Garden | Visit València – Turia Gardens | https://www.visitvalencia.com/en/what-to-do-valencia/nature-in-valencia/parks-and-gardens-valencia/turia-gardens | Interreg Europe – Turia Garden (good practice) | https://www.interregeurope.eu/good-practices/turia-garden,,,"Zdraví, Finance a majetek, Životní prostředí, Obyvatelé a komunita",Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"valencie – jardin del turia (protipovodnovy park)|valencie, spanelsko|povodne, vlny veder"
29,Utrecht – obnovení městského kanálu Singel,Přívalové deště,Město,"Utrecht, Nizozemsko",52.0907,5.1214,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Utrecht na přelomu 60. a 70. let zasypal část historického vodního okruhu Singel (Catharijnesingel) a nahradil ji městskou rychlostní komunikací. Po referendu z roku 2002, v němž obyvatelé podpořili návrat vody, město kanál v etapách obnovilo v rámci přestavby okolí hlavního nádraží (program CU2030); poslední, cca 1,1 km dlouhý úsek podle návrhu OKRA Landschapsarchitecten byl dokončen v září 2020, čímž se po zhruba 50 letech uzavřel celý, téměř 6 km dlouhý vodní okruh kolem historického centra. Do koryta se vrátilo asi 40 000 m3 vody a podél vznikl lineární park; náklady závěrečné etapy činily cca 7 mil. EUR. Kanál slouží retenci a odvádění srážkové vody, rekreační plavbě a ochlazování centra; spravuje jej Gemeente Utrecht.","Cca 40 000 m3 obnoveného vodního objemu zvyšuje retenční a odváděcí kapacitu centra při přívalových deštích; 1,1 km nového parku a nábřeží zpřístupnilo vodu chodcům a cyklistům namísto sedmiproudé komunikace. Vodní plocha a stromořadí zmírňují letní přehřívání centra; projekt zvýšil atraktivitu a hodnotu okolí nádraží a získal mezinárodní ocenění (European Prize for Urban Public Space 2022). Přínos pro obyvatele centra, rekreační plavce i podnikatele v parteru.","Obnova vyžadovala léta dopravních omezení v centru a přeložky inženýrských sítí; investice (jen poslední etapa cca 7 mil. EUR) nese město. Odstranění kapacitní komunikace předpokládá funkční objízdné trasy a podporu veřejnosti – bez referenda a dlouhodobého politického konsenzu je projekt zranitelný. Kvalita vody ve stojatějších úsecích (sinice v horkých létech) vyžaduje průběžnou správu. Retenční efekt je lokální a extrémní přívaly v celém povodí neřeší. V ČR přenositelné tam, kde existují zasypaná historická koryta a náhony, s nutnou koordinací dopravy a památkové péče.","1. Referendum a politické rozhodnutí o obnově kanálu (2002). 2. Zapracování do master planu přestavby centra (CU2030). 3. Krajinářský návrh (OKRA) a hydraulické i dopravní posouzení. 4. Etapizace: postupné rušení vozovky a přeložky sítí. 5. Výkop a utěsnění koryta, napojení na stávající okruh, napuštění. 6. Parkové úpravy nábřeží a výsadby. 7. Otevření kompletního okruhu (září 2020). 8. Běžná vodohospodářská údržba a monitoring kvality vody.",Gemeente Utrecht,,Public Space – Catharijnesingel (projekt) | https://www.publicspace.org/works/-/project/m357-catharijnesingel | Bicycle Dutch – Utrecht corrects a historic mistake | https://bicycledutch.wordpress.com/2020/09/16/utrecht-corrects-a-historic-urban-design-mistake/,,,"Infrastruktura, Obyvatelé a komunita",Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"utrecht – obnoveni mestskeho kanalu singel|utrecht, nizozemsko|privalove deste"
